Trial,Time,FP1,FP2,F7,F8,AF1,AF2,FZ,F4,F3,FC6,FC5,FC2,FC1,T8,T7,CZ,C3,C4,CP5,CP6,CP1,CP2,P3,P4,PZ,P8,P7,PO2,PO1,O2,O1,X,AF7,AF8,F5,F6,FT7,FT8,FPZ,FC4,FC3,C6,C5,F2,F1,TP8,TP7,AFZ,CP3,CP4,P5,P6,C1,C2,PO7,PO8,FCZ,POZ,OZ,P2,P1,CPZ,nd,Y
87,0,5.513999999999999,6.48,2.421,3.784,4.456,6.205,3.947,4.0889999999999995,-0.142,1.8619999999999999,1.76,1.455,1.729,-5.595,4.283,4.944,-1.536,-0.5589999999999999,-1.882,-6.124,-0.905,-2.37,-0.946,-4.9030000000000005,-4.059,-3.906,-3.693,-6.999,-2.858,-2.8789999999999996,-2.614,10.63,4.1610000000000005,6.989,0.17300000000000001,3.7030000000000003,2.9810000000000003,-3.245,1.536,4.893,0.295,-3.682,1.3530000000000002,5.218999999999999,2.747,-1.77,0.977,5.819,-1.2409999999999999,-4.9030000000000005,-1.6780000000000002,-4.974,2.513,-0.804,10.162,9.755,1.851,-4.588,-3.072,-5.229,-1.902,-1.933,5.544,7.284
87,1,2.5839999999999996,5.015,0.46799999999999997,1.831,2.991,4.74,3.4589999999999996,4.578,-0.631,-1.556,0.7829999999999999,2.92,1.2409999999999999,-6.082999999999999,4.283,3.4789999999999996,-2.513,0.905,-2.37,-5.636,-2.858,-2.858,-3.387,-6.856,-6.5,-6.836,-3.693,-9.44,-5.3,-4.832,-4.079,9.165,1.719,6.5,0.17300000000000001,3.215,2.004,-10.081,0.5589999999999999,4.893,-0.682,-3.682,-0.6,4.73,2.258,-5.676,-0.488,4.354,-2.7060000000000004,-3.927,-2.655,-6.439,-1.3940000000000001,1.149,4.791,3.8960000000000004,2.34,-8.006,-5.025,-7.182,-4.832,-2.909,2.614,4.354
87,2,-0.34600000000000003,4.038,-0.509,0.8540000000000001,2.0140000000000002,3.764,2.97,4.0889999999999995,-0.631,-2.045,0.7829999999999999,3.408,1.2409999999999999,-4.13,1.841,3.4789999999999996,-2.024,0.41700000000000004,-1.882,-3.194,-3.835,-2.858,-4.852,-7.345,-7.965,-6.836,-2.228,-9.927999999999999,-6.765,-5.809,-3.591,7.212000000000001,0.254,4.059,0.6609999999999999,1.261,1.0270000000000001,-11.058,1.536,0.987,-1.17,-2.7060000000000004,-0.6,3.265,1.77,-7.629,-0.977,2.889,-3.682,-3.438,-3.1430000000000002,-6.9270000000000005,-0.41700000000000004,3.103,6.744,4.873,2.34,-9.959,-6.002000000000001,-7.67,-6.785,-2.909,-0.315,1.912
87,3,-1.811,3.062,-0.02,0.8540000000000001,1.526,2.299,1.506,2.625,-0.142,-1.068,0.7829999999999999,2.431,0.753,-1.689,-1.088,3.4789999999999996,-1.048,-1.536,-0.905,-1.2409999999999999,-3.835,-2.858,-4.852,-6.367999999999999,-7.965,-4.395,0.214,-7.975,-6.276,-4.832,-2.614,4.283,-0.722,0.153,0.17300000000000001,-1.6680000000000001,0.051,-3.733,2.024,-2.431,-1.17,-1.729,-0.11199999999999999,1.3119999999999998,0.7929999999999999,-6.653,-0.488,1.912,-4.171,-3.438,-2.655,-5.9510000000000005,3.489,0.6609999999999999,10.162,8.291,1.851,-9.959,-5.513999999999999,-7.67,-6.785,-2.909,-1.2919999999999998,1.4240000000000002
87,4,-0.34600000000000003,1.597,0.956,-0.122,1.038,0.34600000000000003,0.529,0.183,-0.142,-0.58,0.295,-0.01,0.753,1.2409999999999999,-2.553,2.0140000000000002,-0.071,-2.024,0.071,0.22399999999999998,-3.347,-2.858,-3.8760000000000003,-4.9030000000000005,-8.453,-0.977,2.655,-6.022,-5.3,-2.8789999999999996,-0.17300000000000001,1.841,-0.722,-3.265,-0.315,-4.11,0.539,5.544,1.048,-2.92,-0.682,-0.264,0.376,-0.6409999999999999,0.305,-3.235,0.977,0.9359999999999999,-3.194,-3.438,-1.19,-3.51,3.977,-4.71,16.022000000000002,6.8260000000000005,0.875,-8.982000000000001,-3.56,-6.205,-6.297000000000001,-2.421,-0.315,1.912
87,5,2.5839999999999996,0.132,1.933,-2.075,0.5489999999999999,-0.631,0.040999999999999995,-2.258,0.34600000000000003,-0.58,0.7829999999999999,-1.963,0.753,3.682,-1.088,0.061,0.41700000000000004,-0.5589999999999999,0.5589999999999999,1.2,-2.37,-2.858,-2.411,-3.438,-8.942,1.953,5.096,-4.5569999999999995,-3.835,-0.43700000000000006,2.7569999999999997,0.376,0.254,-4.242,0.17300000000000001,-4.11,2.004,9.939,-0.41700000000000004,-0.966,0.7829999999999999,1.689,0.865,-1.617,0.305,0.6709999999999999,3.418,0.44799999999999995,-1.729,-2.4619999999999997,1.251,-0.58,2.513,-2.2680000000000002,16.998,10.244000000000002,-0.102,-8.006,-1.607,-5.229,-6.297000000000001,-2.421,2.126,2.889
87,6,5.025,-0.35600000000000004,3.398,-3.052,1.526,-0.631,0.529,-2.258,2.299,0.397,2.736,-1.963,1.729,6.124,2.818,-1.4040000000000001,1.882,2.37,2.513,2.665,-1.882,-2.37,-1.923,-2.4619999999999997,-9.43,3.418,6.561,-4.069,-3.835,2.492,4.71,0.865,2.696,-2.289,2.614,-1.6680000000000001,4.934,7.985,0.5589999999999999,1.963,2.736,4.13,2.33,-1.129,0.7929999999999999,3.113,5.371,0.9359999999999999,-0.264,-0.997,2.716,1.3730000000000002,4.954,-5.686,9.674,-1.963,-0.102,-7.029,0.34600000000000003,-4.252,-6.297000000000001,-2.909,4.567,2.401
87,7,6.002000000000001,0.621,4.862,-1.587,3.4789999999999996,1.3219999999999998,1.506,-0.305,4.74,1.8619999999999999,4.69,-0.498,2.7060000000000004,7.5889999999999995,6.724,1.038,3.835,3.835,5.442,3.153,-1.3940000000000001,-1.882,-0.946,-1.485,-8.453,4.395,9.003,-2.6039999999999996,-2.858,4.445,6.175,2.818,5.625,0.6409999999999999,5.544,2.7260000000000004,7.375,5.056,4.466,4.893,5.178,6.571000000000001,4.283,0.8240000000000001,2.258,3.113,7.812,2.401,0.7120000000000001,-0.02,3.693,1.8619999999999999,0.071,2.614,10.162,-1.963,-0.102,-5.564,1.811,-3.2760000000000002,-6.297000000000001,-3.398,5.544,3.377
87,8,5.513999999999999,3.55,6.327000000000001,2.319,5.432,3.764,3.4589999999999996,3.113,6.694,4.791,7.131,1.455,3.194,8.565,10.142000000000001,6.409,5.787999999999999,1.882,8.372,2.177,-0.905,-1.882,0.519,-1.485,-6.989,4.883,10.956,-1.139,-1.3940000000000001,5.91,7.151,5.747000000000001,8.067,5.035,7.985,6.632000000000001,9.328,6.032,8.86,5.381,6.643,7.06,6.724,3.265,4.211,2.136,9.766,4.354,2.177,-0.02,5.157,1.8619999999999999,3.977,-4.71,7.721,6.8260000000000005,0.875,-4.1,3.764,-2.787,-4.832,-3.398,5.544,4.842
87,9,5.025,5.502999999999999,7.303999999999999,7.69,6.897,6.205,4.435,5.553999999999999,7.182,5.768,7.619,1.943,3.682,7.5889999999999995,11.607000000000001,11.78,6.765,-2.513,9.349,-0.264,0.071,-2.37,2.96,-0.997,-5.524,4.883,12.421,0.8140000000000001,0.5589999999999999,6.8870000000000005,8.616,8.189,9.532,8.453,8.474,8.097000000000001,10.305,8.474,9.837,3.428,7.131,4.618,8.677,4.73,5.676,1.6480000000000001,11.23,6.307,3.642,-0.997,7.111000000000001,1.3730000000000002,3.0010000000000003,-7.151,12.604000000000001,6.337000000000001,1.851,-2.146,5.229,-2.299,-2.391,-3.398,5.544,8.26
